date_appel,Entite,Famille,Nombre_entrants_corrige
2023-03-02,Entite 3,F7,510.0
2023-03-03,Entite 3,F7,586.3497053
2023-03-04,Entite 3,F7,7.15
2023-03-05,Entite 3,F7,0.0
2023-03-06,Entite 3,F7,749.81066461
2023-03-07,Entite 3,F7,641.65801012
2023-03-08,Entite 3,F7,584.53187919
2023-03-09,Entite 3,F7,611.32655367
2023-03-10,Entite 3,F7,558.00448343
2023-03-11,Entite 3,F7,3.85
2023-03-12,Entite 3,F7,0.0
2023-03-13,Entite 3,F7,614.88607595
2023-03-14,Entite 3,F7,537.33536122
2023-03-15,Entite 3,F7,527.63116371
2023-03-16,Entite 3,F7,476.66305419
2023-03-17,Entite 3,F7,446.98039648
2023-03-18,Entite 3,F7,4.84
2023-03-19,Entite 3,F7,0.0
2023-03-20,Entite 3,F7,606.54126679
2023-03-21,Entite 3,F7,512.35555556
2023-03-22,Entite 3,F7,514.26666667
2023-03-23,Entite 3,F7,491.27325301
2023-03-24,Entite 3,F7,439.78109453
2023-03-25,Entite 3,F7,6.16
2023-03-26,Entite 3,F7,0.0
2023-03-27,Entite 3,F7,583.04471545
2023-03-28,Entite 3,F7,501.33920188
2023-03-29,Entite 3,F7,508.68574766
2023-03-30,Entite 3,F7,486.0
2023-03-31,Entite 3,F7,440.20529248
2023-03-28,Entite 4,F1,5.0
2023-03-29,Entite 4,F1,4.0
2023-03-30,Entite 4,F1,8.0
2023-03-31,Entite 4,F1,2.0
2023-03-01,Entite 4,F5,17.470588235
2023-03-02,Entite 4,F5,10.0
2023-03-03,Entite 4,F5,19.0
2023-03-04,Entite 4,F5,0.0
2023-03-05,Entite 4,F5,0.0
2023-03-06,Entite 4,F5,15.253333333
2023-03-07,Entite 4,F5,19.8
2023-03-08,Entite 4,F5,18.0
2023-03-09,Entite 4,F5,15.0
2023-03-10,Entite 4,F5,15.253333333
2023-03-11,Entite 4,F5,0.0
2023-03-12,Entite 4,F5,0.0
2023-03-13,Entite 4,F5,22.0
2023-03-14,Entite 4,F5,11.733333333
2023-03-15,Entite 4,F5,20.79
2023-03-16,Entite 4,F5,8.0
2023-03-17,Entite 4,F5,18.0
2023-03-18,Entite 4,F5,0.0
2023-03-19,Entite 4,F5,0.0
2023-03-20,Entite 4,F5,17.0
2023-03-21,Entite 4,F5,14.752941176
2023-03-22,Entite 4,F5,14.4375
2023-03-23,Entite 4,F5,15.0
2023-03-24,Entite 4,F5,15.4
2023-03-25,Entite 4,F5,0.0
2023-03-26,Entite 4,F5,0.0
2023-03-27,Entite 4,F5,13.0
2023-03-28,Entite 4,F5,16.3625
2023-03-29,Entite 4,F5,9.9
2023-03-30,Entite 4,F5,19.904761905
2023-03-31,Entite 4,F5,17.6
2023-03-01,Entite 4,F7,136.59130435
2023-03-02,Entite 4,F7,121.0
2023-03-03,Entite 4,F7,112.76571429
2023-03-04,Entite 4,F7,0.0
2023-03-05,Entite 4,F7,0.0
2023-03-06,Entite 4,F7,149.0
2023-03-07,Entite 4,F7,174.56463415
2023-03-08,Entite 4,F7,146.13543307
2023-03-09,Entite 4,F7,138.6
2023-03-10,Entite 4,F7,132.82033898
2023-03-11,Entite 4,F7,0.0
2023-03-12,Entite 4,F7,0.0
2023-03-13,Entite 4,F7,161.766
2023-03-14,Entite 4,F7,150.98630137
2023-03-15,Entite 4,F7,144.3037037
2023-03-16,Entite 4,F7,122.84186047
2023-03-17,Entite 4,F7,143.31428571
2023-03-18,Entite 4,F7,0.0
2023-03-19,Entite 4,F7,0.0
2023-03-20,Entite 4,F7,158.57368421
2023-03-21,Entite 4,F7,119.58415842
2023-03-22,Entite 4,F7,109.79245283
2023-03-23,Entite 4,F7,129.3059322
2023-03-24,Entite 4,F7,113.76494845
2023-03-25,Entite 4,F7,0.0
2023-03-26,Entite 4,F7,0.0
2023-03-27,Entite 4,F7,124.0
2023-03-28,Entite 4,F7,123.45882353
2023-03-29,Entite 4,F7,144.0
2023-03-30,Entite 4,F7,127.6411215
2023-03-31,Entite 4,F7,113.39361702
2023-03-01,Entite 5,F1,30.0
2023-03-02,Entite 5,F1,21.0
2023-03-03,Entite 5,F1,25.0
2023-03-04,Entite 5,F1,2.0
2023-03-05,Entite 5,F1,0.0
2023-03-06,Entite 5,F1,20.0
2023-03-07,Entite 5,F1,21.0
2023-03-08,Entite 5,F1,24.0
2023-03-09,Entite 5,F1,15.4
2023-03-10,Entite 5,F1,22.0
2023-03-11,Entite 5,F1,4.0
2023-03-12,Entite 5,F1,0.0
2023-03-13,Entite 5,F1,29.0
2023-03-14,Entite 5,F1,20.0
2023-03-15,Entite 5,F1,20.0
2023-03-16,Entite 5,F1,16.0
2023-03-17,Entite 5,F1,12.0
2023-03-18,Entite 5,F1,4.0
2023-03-19,Entite 5,F1,0.0
2023-03-20,Entite 5,F1,15.4
2023-03-21,Entite 5,F1,4.7666666667
2023-03-22,Entite 5,F1,13.0
2023-03-23,Entite 5,F1,11.0
2023-03-24,Entite 5,F1,8.25
2023-03-25,Entite 5,F1,2.0
2023-03-26,Entite 5,F1,0.0
2023-03-27,Entite 5,F1,17.0
2023-03-28,Entite 5,F1,8.8
2023-03-29,Entite 5,F1,18.0
2023-03-30,Entite 5,F1,5.5
2023-03-31,Entite 5,F1,4.95
2023-03-01,Entite 5,F2,681.10062893
2023-03-02,Entite 5,F2,660.27760252
2023-03-03,Entite 5,F2,602.41889764
2023-03-04,Entite 5,F2,147.52941176
2023-03-05,Entite 5,F2,0.0
2023-03-06,Entite 5,F2,807.83731707
2023-03-07,Entite 5,F2,730.89015544
2023-03-08,Entite 5,F2,686.4
2023-03-09,Entite 5,F2,668.28618421
2023-03-10,Entite 5,F2,675.24722222
2023-03-11,Entite 5,F2,152.69294118
2023-03-12,Entite 5,F2,0.0
2023-03-13,Entite 5,F2,749.88253165
2023-03-14,Entite 5,F2,725.45901639
2023-03-15,Entite 5,F2,631.125
2023-03-16,Entite 5,F2,603.64451613
2023-03-17,Entite 5,F2,708.23812709
2023-03-18,Entite 5,F2,186.09012346
2023-03-19,Entite 5,F2,0.0
2023-03-20,Entite 5,F2,762.52868421
2023-03-21,Entite 5,F2,659.87640449
2023-03-22,Entite 5,F2,690.81388013
2023-03-23,Entite 5,F2,593.40559006
2023-03-24,Entite 5,F2,588.36007067
2023-03-25,Entite 5,F2,145.2
2023-03-26,Entite 5,F2,0.0
2023-03-27,Entite 5,F2,727.56610169
2023-03-28,Entite 5,F2,609.17375887
2023-03-29,Entite 5,F2,568.87987421
2023-03-30,Entite 5,F2,562.25039063
2023-03-31,Entite 5,F2,546.36363636
2023-03-01,Entite 5,F3,392.05833333
2023-03-02,Entite 5,F3,353.32656716
2023-03-03,Entite 5,F3,289.50986842
2023-03-04,Entite 5,F3,159.14716981
2023-03-05,Entite 5,F3,0.0
2023-03-06,Entite 5,F3,540.82711864
2023-03-07,Entite 5,F3,628.93843648
2023-03-08,Entite 5,F3,486.36363636
2023-03-09,Entite 5,F3,473.14316703
2023-03-10,Entite 5,F3,472.14672897
2023-03-11,Entite 5,F3,178.92964824
2023-03-12,Entite 5,F3,0.0
2023-03-13,Entite 5,F3,561.80033841
2023-03-14,Entite 5,F3,491.38571429
2023-03-15,Entite 5,F3,603.26688103
2023-03-16,Entite 5,F3,564.84395604
2023-03-17,Entite 5,F3,424.4389016
2023-03-18,Entite 5,F3,173.96342857
2023-03-19,Entite 5,F3,0.0
2023-03-20,Entite 5,F3,523.87713178
2023-03-21,Entite 5,F3,567.07996485
2023-03-22,Entite 5,F3,446.29763033
2023-03-23,Entite 5,F3,347.65
2023-03-24,Entite 5,F3,348.71823204
2023-03-25,Entite 5,F3,139.08219178
2023-03-26,Entite 5,F3,0.0
2023-03-27,Entite 5,F3,399.88235294
2023-03-28,Entite 5,F3,341.68983051
2023-03-29,Entite 5,F3,445.23820961
2023-03-30,Entite 5,F3,318.66965944
2023-03-31,Entite 5,F3,325.86455696
2023-03-01,Entite 5,F5,491.95923567
2023-03-02,Entite 5,F5,480.38423529
2023-03-03,Entite 5,F5,462.57391304
2023-03-04,Entite 5,F5,112.0
2023-03-05,Entite 5,F5,0.0
2023-03-06,Entite 5,F5,529.31736527
2023-03-07,Entite 5,F5,581.82916667
2023-03-08,Entite 5,F5,479.85882353
2023-03-09,Entite 5,F5,446.06341463
2023-03-10,Entite 5,F5,419.59726027
2023-03-11,Entite 5,F5,126.896
2023-03-12,Entite 5,F5,0.0
2023-03-13,Entite 5,F5,512.15572354
2023-03-14,Entite 5,F5,442.64328358
2023-03-15,Entite 5,F5,442.87833333
2023-03-16,Entite 5,F5,424.15053763
2023-03-17,Entite 5,F5,363.61682243
2023-03-18,Entite 5,F5,111.6
2023-03-19,Entite 5,F5,0.0
2023-03-20,Entite 5,F5,397.42614555
2023-03-21,Entite 5,F5,424.53546667
2023-03-22,Entite 5,F5,375.91304348
2023-03-23,Entite 5,F5,337.25806452
2023-03-24,Entite 5,F5,383.5
2023-03-25,Entite 5,F5,103.44313725
2023-03-26,Entite 5,F5,0.0
2023-03-27,Entite 5,F5,411.8028169
2023-03-28,Entite 5,F5,415.32724719
2023-03-29,Entite 5,F5,395.52674419
2023-03-30,Entite 5,F5,415.70672515
2023-03-31,Entite 5,F5,388.48113772
2023-03-01,Entite 5,F6,598.17192661
2023-03-02,Entite 5,F6,586.52079566
2023-03-03,Entite 5,F6,521.13347023
2023-03-04,Entite 5,F6,320.9421875
2023-03-05,Entite 5,F6,0.0
2023-03-06,Entite 5,F6,837.78783133
2023-03-07,Entite 5,F6,742.00981432
2023-03-08,Entite 5,F6,693.85740181
2023-03-09,Entite 5,F6,668.50719424
2023-03-10,Entite 5,F6,723.53001403
2023-03-11,Entite 5,F6,353.00958904
2023-03-12,Entite 5,F6,0.0
2023-03-13,Entite 5,F6,686.39649682
2023-03-14,Entite 5,F6,621.65224913
2023-03-15,Entite 5,F6,665.4819403
2023-03-16,Entite 5,F6,575.0149635
2023-03-17,Entite 5,F6,474.41528662
2023-03-18,Entite 5,F6,284.17275748
2023-03-19,Entite 5,F6,0.0
2023-03-20,Entite 5,F6,601.01010453
2023-03-21,Entite 5,F6,582.42857143
2023-03-22,Entite 5,F6,575.24741874
2023-03-23,Entite 5,F6,518.28727984
2023-03-24,Entite 5,F6,465.52464789
2023-03-25,Entite 5,F6,254.01469388
2023-03-26,Entite 5,F6,0.0
2023-03-27,Entite 5,F6,510.54108216
2023-03-28,Entite 5,F6,491.82885033
2023-03-29,Entite 5,F6,483.26334842
2023-03-30,Entite 5,F6,463.52269663
2023-03-31,Entite 5,F6,407.54145078
2023-03-01,Entite 5,F7,3246.7140244
2023-03-02,Entite 5,F7,2947.7561543
2023-03-03,Entite 5,F7,2690.1290897
2023-03-04,Entite 5,F7,796.15697674
2023-03-05,Entite 5,F7,0.0
2023-03-06,Entite 5,F7,3612.8387253
2023-03-07,Entite 5,F7,3495.8563218
2023-03-08,Entite 5,F7,3158.8094818
2023-03-09,Entite 5,F7,3234.6185676
2023-03-10,Entite 5,F7,3092.0103986
2023-03-11,Entite 5,F7,737.1757732
2023-03-12,Entite 5,F7,0.0
2023-03-13,Entite 5,F7,3359.3650545
2023-03-14,Entite 5,F7,3002.1833432
2023-03-15,Entite 5,F7,2928.6175182
2023-03-16,Entite 5,F7,2830.9520076
2023-03-17,Entite 5,F7,2584.0843931
2023-03-18,Entite 5,F7,656.0228013
2023-03-19,Entite 5,F7,0.0
2023-03-20,Entite 5,F7,3185.127045
2023-03-21,Entite 5,F7,3003.2552
2023-03-22,Entite 5,F7,2973.3275517
2023-03-23,Entite 5,F7,2489.4797476
2023-03-24,Entite 5,F7,2527.7420657
2023-03-25,Entite 5,F7,621.39697885
2023-03-26,Entite 5,F7,0.0
2023-03-27,Entite 5,F7,2777.3310762
2023-03-28,Entite 5,F7,2460.8479532
2023-03-29,Entite 5,F7,2559.7556044
2023-03-30,Entite 5,F7,2683.3859769
2023-03-31,Entite 5,F7,2409.5564234
