date_appel;Entite;Famille;Nombre_entrants_corrige
08/02/2019;Entite 1;F6;1323
08/02/2019;Entite 1;F7;810
08/02/2019;Entite 2;F1;1486
08/02/2019;Entite 2;F2;1012
08/02/2019;Entite 2;F3;328
08/02/2019;Entite 3;F2;18
08/02/2019;Entite 3;F5;393
08/02/2019;Entite 3;F7;780
08/02/2019;Entite 4;F5;60
08/02/2019;Entite 4;F7;375
08/02/2019;Entite 5;F1;21
08/02/2019;Entite 5;F2;784
08/02/2019;Entite 5;F3;49
08/02/2019;Entite 5;F5;531
08/02/2019;Entite 5;F6;663
08/02/2019;Entite 5;F7;3673
09/02/2019;Entite 1;F1;3
09/02/2019;Entite 1;F2;9
09/02/2019;Entite 1;F3;87
09/02/2019;Entite 1;F5;17
09/02/2019;Entite 1;F6;484
09/02/2019;Entite 1;F7;241
09/02/2019;Entite 2;F1;360
09/02/2019;Entite 2;F2;228
09/02/2019;Entite 2;F3;88
09/02/2019;Entite 3;F2;3
09/02/2019;Entite 3;F7;14
09/02/2019;Entite 5;F1;8
09/02/2019;Entite 5;F2;161
09/02/2019;Entite 5;F3;32
09/02/2019;Entite 5;F5;121
09/02/2019;Entite 5;F6;354
09/02/2019;Entite 5;F7;1022
11/02/2019;Entite 1;F1;6
11/02/2019;Entite 1;F2;197
11/02/2019;Entite 1;F3;343
11/02/2019;Entite 1;F5;120
11/02/2019;Entite 1;F6;1725
11/02/2019;Entite 1;F7;976
11/02/2019;Entite 2;F1;1761
11/02/2019;Entite 2;F2;1172
11/02/2019;Entite 2;F3;449
11/02/2019;Entite 3;F2;19
11/02/2019;Entite 3;F5;435
11/02/2019;Entite 3;F7;1056
11/02/2019;Entite 4;F5;67
11/02/2019;Entite 4;F7;517
11/02/2019;Entite 5;F1;34
11/02/2019;Entite 5;F2;963
11/02/2019;Entite 5;F3;53
11/02/2019;Entite 5;F5;637
11/02/2019;Entite 5;F6;777
11/02/2019;Entite 5;F7;4731
12/02/2019;Entite 1;F1;6
12/02/2019;Entite 1;F2;156
12/02/2019;Entite 1;F3;296
12/02/2019;Entite 1;F5;101
12/02/2019;Entite 1;F6;1392
12/02/2019;Entite 1;F7;778
12/02/2019;Entite 2;F1;1804
12/02/2019;Entite 2;F2;1037
12/02/2019;Entite 2;F3;387
12/02/2019;Entite 3;F2;29
12/02/2019;Entite 3;F5;377
12/02/2019;Entite 3;F7;895
12/02/2019;Entite 4;F5;61
12/02/2019;Entite 4;F7;592
12/02/2019;Entite 5;F1;26
12/02/2019;Entite 5;F2;760
12/02/2019;Entite 5;F3;43
12/02/2019;Entite 5;F5;625
12/02/2019;Entite 5;F6;644
12/02/2019;Entite 5;F7;3967
13/02/2019;Entite 1;F1;9
13/02/2019;Entite 1;F2;228
13/02/2019;Entite 1;F3;265
13/02/2019;Entite 1;F5;94
13/02/2019;Entite 1;F6;1348
13/02/2019;Entite 1;F7;739
13/02/2019;Entite 2;F1;1516
13/02/2019;Entite 2;F2;975
13/02/2019;Entite 2;F3;346
13/02/2019;Entite 3;F2;12
13/02/2019;Entite 3;F5;341
13/02/2019;Entite 3;F7;811
13/02/2019;Entite 4;F5;57
13/02/2019;Entite 4;F7;510
13/02/2019;Entite 5;F1;45
13/02/2019;Entite 5;F2;748
